"","V1","V2","V3","V4","V5"
"1",0.01,15,1,1.8503,5
"2",0.0161538461538462,15,1,1.5599,4
"3",0.0223076923076923,13,1,1.3813,4
"4",0.0284615384615385,9,1,1.2615,4
"5",0.0346153846153846,7,1,1.1897,3
"6",0.0407692307692308,8,1,1.143,3
"7",0.0469230769230769,7,1,1.1104,3
"8",0.0530769230769231,5,1,1.0793,3
"9",0.0592307692307692,7,1,1.0596,3
"10",0.0653846153846154,4,1,1.0431,3
"11",0.0715384615384615,5,1,1.033,2
"12",0.0776923076923077,4,1,1.0244,2
"13",0.0838461538461538,3,1,1.015,2
"14",0.09,3,1,1.0143,2
"15",0.0961538461538461,2,1,1.011,2
"16",0.102307692307692,3,1,1.0084,2
"17",0.108461538461538,2,1,1.0054,2
"18",0.114615384615385,2,1,1.0043,2
"19",0.120769230769231,3,1,1.0037,2
"20",0.126923076923077,2,1,1.0031,2
"21",0.133076923076923,2,1,1.0025,2
"22",0.139230769230769,2,1,1.0017,2
"23",0.145384615384615,2,1,1.0015,2
"24",0.151538461538462,2,1,1.0007,2
"25",0.157692307692308,2,1,1.0009,2
"26",0.163846153846154,2,1,1.0005,2
"27",0.17,2,1,1.0004,2
"28",0.176153846153846,2,1,1.0002,2
"29",0.182307692307692,2,1,1.0006,2
"30",0.188461538461538,2,1,1.0003,2
"31",0.194615384615385,2,1,1.0005,2
"32",0.200769230769231,1,1,1,1
"33",0.206923076923077,1,1,1.0002,2
"34",0.213076923076923,1,1,1,1
"35",0.219230769230769,2,1,1.0002,2
"36",0.225384615384615,1,1,1.0001,2
"37",0.231538461538462,1,1,1,1
"38",0.237692307692308,1,1,1,1
"39",0.243846153846154,1,1,1,1
"40",0.25,1,1,1,1
